통계표,"4.1.1 시장금리(일별)","4.1.1 시장금리(일별)","4.1.1 시장금리(일별)"
항목명1,"  콜금리(1일, 전체거래)","  콜금리(1일, 중개회사거래)","KORIBOR(6개월)"
단위,"연%","연%","연%"
변환,"원자료","원자료","원자료"
2020/02/14,"1.24","1.24","1.35"
2020/02/15,"","",""
2020/02/16,"","",""
2020/02/17,"1.24","1.24","1.36"
2020/02/18,"1.23","1.23","1.36"
2020/02/19,"1.24","1.24","1.35"
2020/02/20,"1.23","1.23","1.34"
2020/02/21,"1.23","1.23","1.33"
2020/02/22,"","",""
2020/02/23,"","",""
2020/02/24,"1.24","1.24","1.31"
2020/02/25,"1.25","1.25","1.28"
2020/02/26,"1.25","1.25","1.27"
2020/02/27,"1.23","1.23","1.26"
2020/02/28,"1.26","1.26","1.27"
2020/02/29,"","",""
2020/03/01,"","",""
2020/03/02,"1.26","1.26","1.26"
2020/03/03,"1.26","1.26","1.26"
2020/03/04,"1.25","1.25","1.25"
2020/03/05,"1.25","1.25","1.22"
2020/03/06,"1.24","1.24","1.22"
2020/03/07,"","",""
2020/03/08,"","",""
2020/03/09,"1.26","1.26","1.21"
2020/03/10,"1.25","1.25","1.20"
2020/03/11,"1.24","1.24","1.20"
2020/03/12,"1.25","1.25","1.20"
2020/03/13,"1.25","1.25","1.21"
2020/03/14,"","",""
2020/03/15,"","",""
2020/03/16,"1.27","1.27","1.21"
2020/03/17,"0.76","0.76","1.14"
2020/03/18,"0.73","0.73","1.07"
2020/03/19,"0.72","0.72","1.07"
2020/03/20,"0.73","0.73","1.07"
2020/03/21,"","",""
2020/03/22,"","",""
2020/03/23,"0.73","0.73","1.08"
2020/03/24,"0.72","0.72","1.10"
2020/03/25,"0.73","0.73","1.13"
2020/03/26,"0.73","0.73","1.16"
2020/03/27,"0.75","0.75","1.19"
2020/03/28,"","",""
2020/03/29,"","",""
2020/03/30,"0.76","0.76","1.20"
2020/03/31,"0.80","0.80","1.20"
2020/04/01,"0.76","0.76","1.20"
2020/04/02,"0.74","0.74","1.19"
2020/04/03,"0.73","0.73","1.17"
2020/04/04,"","",""
2020/04/05,"","",""
2020/04/06,"0.75","0.75","1.16"
2020/04/07,"0.74","0.74","1.13"
2020/04/08,"0.73","0.73","1.11"
2020/04/09,"0.73","0.73","1.09"
2020/04/10,"0.73","0.73","1.07"
2020/04/11,"","",""
2020/04/12,"","",""
2020/04/13,"0.75","0.75","1.06"
2020/04/14,"0.74","0.74","1.05"
2020/04/15,"","",""
2020/04/16,"0.73","0.73","1.05"
2020/04/17,"0.74","0.74","1.05"
2020/04/18,"","",""
2020/04/19,"","",""
2020/04/20,"0.75","0.75","1.05"
2020/04/21,"0.75","0.75","1.04"
2020/04/22,"0.74","0.74","1.04"
2020/04/23,"0.74","0.74","1.03"
2020/04/24,"0.74","0.74","1.03"
2020/04/25,"","",""
2020/04/26,"","",""
2020/04/27,"0.73","0.73","1.03"
2020/04/28,"0.73","0.73","1.03"
2020/04/29,"0.76","0.76","1.03"
2020/04/30,"","",""
2020/05/01,"","",""
2020/05/02,"","",""
2020/05/03,"","",""
2020/05/04,"0.71","0.71","1.03"
2020/05/05,"","",""
