,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000250,삼천당제약,"45,250","-1,550","-3.3","46,100","47,200","44,750","557,318","25,538,002,400","1,009,277,946,250","0.34","22,304,485"
,000440,중앙에너비스,"8,460","-100","-1.2","8,560","8,640","8,350","28,522","241,219,220","52,681,519,800","0.02","6,227,130"
,001000,신라섬유,"2,350","-5","-0.2","2,340","2,450","2,330","281,988","673,461,720","57,052,219,000","0.02","24,277,540"
,001540,안국약품,"15,300","-150","-1.0","15,500","16,900","15,200","1,201,453","19,316,690,300","199,549,026,000","0.07","13,042,420"
,001810,무림SP,"1,920","-45","-2.3","1,950","1,955","1,915","33,705","65,250,190","42,504,000,000","0.01","22,137,500"
,001840,이화공영,"4,650","-30","-0.6","4,670","4,780","4,550","213,236","993,445,405","92,096,784,000","0.03","19,805,760"
,002230,피에스텍,"3,915","-60","-1.5","3,975","3,980","3,875","14,911","58,503,010","77,005,086,345","0.03","19,669,243"
,002290,삼일기업공사,"2,795","10","0.4","2,830","2,830","2,745","53,573","149,003,080","34,658,000,000","0.01","12,400,000"
,002680,한탑,"1,775","-25","-1.4","1,800","1,800","1,775","37,993","67,601,055","39,581,527,300","0.01","22,299,452"
,002800,신신제약,"13,300","1,850","16.2","13,400","14,850","13,050","16,686,590","236,310,305,450","201,767,650,000","0.07","15,170,500"
,003100,선광,"16,200","-200","-1.2","16,400","16,500","15,800","10,296","166,990,350","106,920,000,000","0.04","6,600,000"
,003310,대주산업,"1,560","-85","-5.2","1,610","1,635","1,525","3,874,699","6,109,557,550","55,212,066,000","0.02","35,392,350"
,003380,하림지주,"6,990","-20","-0.3","7,000","7,110","6,900","136,170","953,003,290","645,469,321,800","0.22","92,341,820"
,003800,에이스침대,"42,100","-650","-1.5","42,200","42,650","42,000","1,114","47,015,250","466,889,000,000","0.16","11,090,000"
,004590,한국가구,"4,490","-15","-0.3","4,530","4,530","4,440","15,821","70,454,470","67,350,000,000","0.02","15,000,000"
,004650,창해에탄올,"13,250","-350","-2.6","13,650","13,700","13,100","138,973","1,846,942,700","121,779,226,250","0.04","9,190,885"
,004780,대륙제관,"4,660","50","1.1","4,610","4,780","4,570","83,194","389,025,960","74,108,907,340","0.03","15,903,199"
,005160,동국산업,"3,620","-65","-1.8","3,630","3,740","3,545","1,271,411","4,632,089,060","196,365,024,840","0.07","54,244,482"
,005290,동진쎄미켐,"30,700","-950","-3.0","31,100","31,550","29,800","1,542,227","47,450,306,750","1,578,424,965,800","0.54","51,414,494"
,005670,푸드웰,"5,280","-70","-1.3","5,310","5,590","5,270","61,794","331,035,470","52,800,000,000","0.02","10,000,000"
,005710,대원산업,"4,925","-35","-0.7","5,000","5,000","4,880","47,429","233,489,885","98,685,180,000","0.03","20,037,600"
