,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000250,삼천당제약,"43,300","1,500","3.6","41,900","43,900","41,500","501,636","21,603,371,200","965,784,200,500","0.33","22,304,485"
,000440,중앙에너비스,"8,690","-10","-0.1","8,710","8,780","8,610","19,674","170,638,740","54,113,759,700","0.02","6,227,130"
,001000,신라섬유,"2,430","40","1.7","2,390","2,450","2,350","348,320","838,194,775","58,994,422,200","0.02","24,277,540"
,001540,안국약품,"14,550","450","3.2","14,150","16,200","13,900","1,159,253","17,341,103,700","189,767,211,000","0.06","13,042,420"
,001810,무림SP,"1,980","35","1.8","1,955","2,010","1,950","48,408","96,007,755","43,832,250,000","0.01","22,137,500"
,001840,이화공영,"4,815","-90","-1.8","4,895","4,905","4,815","142,764","693,111,680","95,364,734,400","0.03","19,805,760"
,002230,피에스텍,"4,020","-10","-0.2","4,090","4,090","4,010","16,262","65,527,340","79,070,356,860","0.03","19,669,243"
,002290,삼일기업공사,"2,820","10","0.4","2,810","2,855","2,775","50,143","141,367,835","34,968,000,000","0.01","12,400,000"
,002680,한탑,"1,775","-35","-1.9","1,810","1,825","1,775","48,514","86,990,700","39,581,527,300","0.01","22,299,452"
,002800,신신제약,"8,820","790","9.8","8,140","9,710","8,020","9,738,656","87,005,821,100","133,803,810,000","0.05","15,170,500"
,003100,선광,"16,300","150","0.9","16,200","16,450","16,150","10,429","169,435,200","107,580,000,000","0.04","6,600,000"
,003310,대주산업,"1,500","120","8.7","1,450","1,740","1,415","62,249,852","100,842,201,555","53,088,525,000","0.02","35,392,350"
,003380,하림지주,"7,120","-60","-0.8","7,160","7,420","7,120","194,865","1,415,212,670","657,473,758,400","0.22","92,341,820"
,003800,에이스침대,"42,300","50","0.1","42,500","42,600","42,050","1,093","46,191,950","469,107,000,000","0.16","11,090,000"
,004590,한국가구,"4,535","-40","-0.9","4,575","4,655","4,470","5,853","26,547,120","68,025,000,000","0.02","15,000,000"
,004650,창해에탄올,"13,200","0","0.0","13,300","13,350","13,100","53,045","700,852,650","121,319,682,000","0.04","9,190,885"
,004780,대륙제관,"4,675","-45","-1.0","4,790","4,790","4,660","80,229","376,487,555","74,347,455,325","0.03","15,903,199"
,005160,동국산업,"3,860","-10","-0.3","3,830","4,025","3,770","7,523,666","29,546,003,265","209,383,700,520","0.07","54,244,482"
,005290,동진쎄미켐,"31,550","2,150","7.3","29,600","31,700","29,050","4,323,087","133,451,712,250","1,622,127,285,700","0.55","51,414,494"
,005670,푸드웰,"5,270","-180","-3.3","5,570","5,700","5,220","323,796","1,762,328,420","52,700,000,000","0.02","10,000,000"
,005710,대원산업,"5,040","10","0.2","5,100","5,100","4,980","26,951","135,105,865","100,989,504,000","0.03","20,037,600"
,005860,한일사료,"1,805","-15","-0.8","1,815","1,850","1,805","665,965","1,215,593,730","71,123,651,425","0.02","39,403,685"
,005990,매일홀딩스,"8,560","30","0.4","8,530","8,590","8,490","11,020","93,950,570","117,428,682,240","0.04","13,718,304"
,006050,국영지앤엠,"2,420","-80","-3.2","2,480","2,495","2,415","927,470","2,265,353,750","84,446,488,060","0.03","34,895,243"
,006140,피제이전자,"4,735","-10","-0.2","4,815","4,815","4,685","7,643","36,221,300","71,025,000,000","0.02","15,000,000"
,006580,대양제지,"2,885","-10","-0.4","2,860","2,895","2,855","73,507","211,025,400","77,462,250,000","0.03","26,850,000"
,006620,동구바이오제약,"26,100","1,000","4.0","25,350","26,350","24,850","429,697","11,063,051,250","250,664,400,000","0.08","9,604,000"
,006730,서부T&D,"7,260","-100","-1.4","7,350","7,360","7,210","558,836","4,053,554,660","422,099,623,440","0.14","58,140,444"
,006910,보성파워텍,"1,875","15","0.8","1,855","2,000","1,830","2,894,598","5,535,146,820","86,386,985,625","0.03","46,073,059"
,006920,모헨즈,"4,195","300","7.7","3,955","4,385","3,900","4,003,407","16,953,495,960","45,809,400,000","0.02","10,920,000"
,007330,푸른저축은행,"7,860","-20","-0.2","7,880","7,900","7,820","7,084","55,827,800","118,550,808,000","0.04","15,082,800"
,007370,진양제약,"7,540","470","6.6","7,170","7,760","7,080","4,367,862","32,469,550,430","90,480,000,000","0.03","12,000,000"
,007390,네이처셀,"9,440","-40","-0.4","9,550","9,560","9,330","1,086,912","10,214,252,810","577,637,366,560","0.20","61,190,399"
,007530,영신금속,"1,865","35","1.9","1,810","1,880","1,750","613,655","1,108,197,965","23,933,485,320","0.01","12,832,968"
