,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"21,650","4,900","29.2","16,950","21,750","16,450","10,002,002","199,410,486,900","604,716,325,500","0.04","27,931,470"
,000040,KR모터스,"750","-13","-1.7","758","768","734","770,766","577,433,544","68,745,763,500","0.00","91,661,018"
,000050,경방,"11,200","-200","-1.8","11,400","11,450","11,200","24,419","275,168,550","307,051,024,000","0.02","27,415,270"
,000060,메리츠화재,"13,200","350","2.7","12,850","13,350","12,800","266,771","3,521,255,750","1,500,576,000,000","0.10","113,680,000"
,000070,삼양홀딩스,"71,700","-12,200","-14.5","80,200","81,700","71,700","346,222","26,373,349,900","614,058,230,700","0.04","8,564,271"
,000075,삼양홀딩스우,"51,100","-6,800","-11.7","57,000","68,000","50,700","107,066","6,284,808,000","15,537,363,800","0.00","304,058"
,000080,하이트진로,"42,900","500","1.2","42,500","43,250","42,000","538,119","22,972,666,050","3,008,731,911,900","0.20","70,133,611"
,000087,하이트진로2우B,"22,200","-250","-1.1","22,450","22,550","21,100","18,296","399,765,000","25,089,063,600","0.00","1,130,138"
,000100,유한양행,"52,500","900","1.7","51,700","52,500","50,900","382,165","19,777,320,600","3,509,982,525,000","0.23","66,856,810"
,000105,유한양행우,"61,700","3,400","5.8","57,800","62,000","57,400","71,296","4,290,758,900","72,863,998,000","0.00","1,180,940"
,000120,CJ대한통운,"155,000","-6,500","-4.0","161,000","162,500","154,500","91,319","14,337,944,078","3,535,913,320,000","0.23","22,812,344"
,000140,하이트진로홀딩스,"20,750","-100","-0.5","20,850","21,050","20,450","16,771","347,490,850","481,540,373,750","0.03","23,206,765"
,000145,하이트진로홀딩스우,"17,800","600","3.5","17,600","17,800","16,900","6,240","107,703,800","8,380,418,000","0.00","470,810"
,000150,두산,"47,250","-1,450","-3.0","49,150","52,300","46,850","725,891","35,556,728,050","780,751,203,750","0.05","16,523,835"
,000155,두산우,"40,300","-2,700","-6.3","40,700","48,400","38,500","821,486","35,171,288,400","161,057,418,600","0.01","3,996,462"
,000157,두산2우B,"95,000","7,000","8.0","84,800","111,000","83,300","207,167","20,692,629,400","84,838,610,000","0.01","893,038"
,000180,성창기업지주,"1,690","5","0.3","1,700","1,700","1,655","260,269","434,536,390","117,880,204,000","0.01","69,751,600"
,000210,대림산업,"89,500","-500","-0.6","90,300","91,700","88,600","202,543","18,266,248,400","3,114,600,000,000","0.21","34,800,000"
,000215,대림산업우,"39,900","-100","-0.2","39,650","40,200","39,400","13,684","542,351,450","151,620,000,000","0.01","3,800,000"
,000220,유유제약,"15,500","1,250","8.8","14,250","17,650","14,200","3,687,869","59,100,254,100","98,713,098,500","0.01","6,368,587"
,000225,유유제약1우,"14,450","2,750","23.5","11,550","15,200","11,400","1,154,592","16,330,904,300","16,378,569,250","0.00","1,133,465"
,000227,유유제약2우B,"32,550","7,500","29.9","25,800","32,550","25,800","42,438","1,306,497,050","5,340,804,000","0.00","164,080"
,000230,일동홀딩스,"9,070","250","2.8","8,990","9,080","8,800","20,814","186,639,260","104,671,428,000","0.01","11,540,400"
,000240,한국테크놀로지그룹,"11,800","100","0.8","11,750","12,000","11,550","325,600","3,846,726,350","1,097,638,041,400","0.07","93,020,173"
,000270,기아차,"35,800","-900","-2.4","36,650","37,250","35,700","2,156,629","78,572,015,700","14,512,007,822,600","0.96","405,363,347"
,000300,대유플러스,"648","4","0.6","641","648","637","331,176","212,937,266","73,382,045,256","0.00","113,243,897"
,000320,노루홀딩스,"9,350","10","0.1","9,300","9,380","9,260","3,147","29,240,570","124,272,261,850","0.01","13,291,151"
,000325,노루홀딩스우,"18,150","50","0.3","18,000","18,200","17,900","1,544","27,961,250","3,362,287,500","0.00","185,250"
,000370,한화손해보험,"2,885","170","6.3","2,715","2,905","2,715","1,971,056","5,637,166,020","336,791,769,775","0.02","116,738,915"
,000390,삼화페인트,"4,990","-70","-1.4","5,060","5,100","4,975","38,798","194,209,950","131,929,367,490","0.01","26,438,751"
,000400,롯데손해보험,"1,785","-10","-0.6","1,780","1,815","1,765","412,200","738,072,140","553,950,331,200","0.04","310,336,320"
,000430,대원강업,"3,095","-5","-0.2","3,135","3,140","3,085","29,636","92,129,700","191,890,000,000","0.01","62,000,000"
,000480,조선내화,"73,300","600","0.8","72,700","73,400","72,500","1,029","74,956,600","293,200,000,000","0.02","4,000,000"
,000490,대동공업,"6,620","180","2.8","6,640","6,640","6,350","113,113","732,228,910","157,080,750,200","0.01","23,728,210"
,000500,가온전선,"16,850","150","0.9","16,700","17,000","16,700","6,015","101,535,450","70,101,846,950","0.00","4,160,347"
,000520,삼일제약,"20,350","1,250","6.5","19,150","21,700","18,800","471,964","9,638,215,800","132,275,000,000","0.01","6,500,000"
,000540,흥국화재,"2,260","30","1.4","2,215","2,290","2,205","24,725","55,803,735","145,188,377,700","0.01","64,242,645"
,000545,흥국화재우,"5,850","70","1.2","5,830","5,950","5,750","34,149","199,884,420","4,492,800,000","0.00","768,000"
,000547,흥국화재2우B,"24,400","300","1.2","24,100","24,900","23,900","7,868","191,954,300","3,747,840,000","0.00","153,600"
,000590,CS홀딩스,"63,200","600","1.0","62,800","64,000","61,800","4,774","300,284,600","72,963,262,400","0.00","1,154,482"
,000640,동아쏘시오홀딩스,"100,500","1,300","1.3","98,800","101,000","98,800","27,485","2,748,015,300","616,898,848,500","0.04","6,138,297"
,000650,천일고속,"61,300","0","0.0","61,300","62,400","60,200","1,199","73,122,200","87,611,186,000","0.01","1,429,220"
,000660,SK하이닉스,"83,200","-900","-1.1","84,100","84,200","82,900","2,876,295","239,611,385,215","60,569,796,768,000","4.01","728,002,365"
,000670,영풍,"512,000","24,000","4.9","488,000","521,000","487,500","6,933","3,531,558,000","943,124,480,000","0.06","1,842,040"
,000680,LS네트웍스,"2,160","80","3.8","2,090","2,595","2,060","1,553,000","3,639,287,285","170,214,514,560","0.01","78,803,016"
,000700,유수홀딩스,"5,850","0","0.0","5,850","5,890","5,780","25,005","145,798,930","152,344,600,200","0.01","26,041,812"
,000720,현대건설,"35,600","300","0.8","35,250","36,200","35,050","1,045,851","37,459,083,100","3,964,265,234,000","0.26","111,355,765"
,000725,현대건설우,"265,000","19,000","7.7","240,500","265,000","240,500","13,098","3,382,414,000","26,196,840,000","0.00","98,856"
,000760,이화산업,"14,300","-100","-0.7","14,200","14,350","14,100","1,235","17,511,900","40,040,000,000","0.00","2,800,000"
,000810,삼성화재,"183,000","-500","-0.3","182,500","187,500","182,500","75,776","14,022,515,500","8,669,595,171,000","0.57","47,374,837"
,000815,삼성화재우,"125,000","-1,000","-0.8","126,000","127,000","124,500","16,195","2,036,911,000","399,000,000,000","0.03","3,192,000"
,000850,화천기공,"31,000","-100","-0.3","31,000","31,250","30,850","1,809","55,996,500","68,200,000,000","0.00","2,200,000"
,000860,강남제비스코,"15,000","300","2.0","14,700","15,150","14,650","17,724","264,991,900","97,500,000,000","0.01","6,500,000"
,000880,한화,"23,850","-150","-0.6","24,050","24,600","23,800","307,030","7,424,926,900","1,787,765,829,750","0.12","74,958,735"
,000885,한화우,"48,600","350","0.7","48,500","52,600","47,500","116,046","5,791,775,200","23,293,688,400","0.00","479,294"
,00088K,한화3우B,"11,750","-50","-0.4","11,800","11,950","11,700","113,043","1,334,971,150","264,046,000,000","0.02","22,472,000"
,000890,보해양조,"920","-7","-0.8","920","928","906","3,073,097","2,812,566,459","117,253,423,160","0.01","127,449,373"
,000910,유니온,"5,390","50","0.9","5,340","5,420","5,310","896,309","4,946,333,830","84,146,626,410","0.01","15,611,619"
,000950,전방,"24,450","-2,550","-9.4","25,500","26,250","24,300","76,436","1,924,218,050","41,076,000,000","0.00","1,680,000"
,000970,한국주철관,"9,820","-30","-0.3","10,000","10,250","9,800","1,546,098","15,462,017,920","223,900,910,000","0.01","22,800,500"
,000990,DB하이텍,"30,400","-500","-1.6","30,950","30,950","30,150","579,098","17,600,290,000","1,349,717,075,200","0.09","44,398,588"
,000995,DB하이텍1우,"63,300","-2,000","-3.1","65,500","65,500","63,100","4,242","270,607,100","7,109,602,800","0.00","112,316"
,001020,페이퍼코리아,"1,500","-45","-2.9","1,525","1,535","1,490","207,621","313,180,905","52,749,420,000","0.00","35,166,280"
,001040,CJ,"86,500","-700","-0.8","86,800","88,100","86,500","64,980","5,655,788,600","2,523,810,327,000","0.17","29,176,998"
,001045,CJ우,"44,050","-400","-0.9","44,650","44,700","44,000","10,952","484,927,950","99,562,823,150","0.01","2,260,223"
,00104K,CJ4우(전환),"60,100","-400","-0.7","60,100","60,500","59,700","12,334","739,711,800","254,013,371,200","0.02","4,226,512"
,001060,JW중외제약,"36,050","800","2.3","35,250","36,150","34,700","225,602","7,991,176,350","754,167,946,700","0.05","20,920,054"
,001065,JW중외제약우,"72,200","3,100","4.5","67,500","78,900","64,300","160,441","11,481,063,800","12,444,464,200","0.00","172,361"
,001067,JW중외제약2우B,"61,900","1,300","2.2","61,100","65,700","58,800","30,574","1,898,975,600","5,594,150,600","0.00","90,374"
,001070,대한방직,"31,050","250","0.8","30,800","31,200","30,200","10,271","316,757,200","164,565,000,000","0.01","5,300,000"
,001080,만호제강,"14,550","-50","-0.3","14,600","14,700","14,100","11,462","164,761,150","60,382,500,000","0.00","4,150,000"
,001120,LG상사,"15,450","150","1.0","15,300","16,200","15,300","707,515","11,215,287,150","598,842,000,000","0.04","38,760,000"
,001130,대한제분,"154,000","-500","-0.3","153,500","157,000","152,500","7,304","1,131,039,000","260,260,000,000","0.02","1,690,000"
,001140,국보,"2,535","300","13.4","2,220","2,540","2,195","14,725,041","35,879,846,230","113,051,714,295","0.01","44,596,337"
,001200,유진투자증권,"3,435","-30","-0.9","3,480","3,585","3,400","1,070,361","3,739,649,135","332,736,145,830","0.02","96,866,418"
,001210,금호전기,"3,625","-20","-0.6","3,680","3,690","3,520","50,126","180,719,400","43,434,097,500","0.00","11,981,820"
,001230,동국제강,"6,340","200","3.3","6,180","6,440","6,050","2,371,596","15,001,570,550","605,043,552,580","0.04","95,432,737"
,001250,GS글로벌,"1,755","0","0.0","1,765","1,770","1,740","291,505","511,462,930","144,846,755,820","0.01","82,533,764"
,001260,남광토건,"10,850","-100","-0.9","10,850","11,000","10,750","37,136","403,426,100","106,640,429,350","0.01","9,828,611"
,001270,부국증권,"19,200","-50","-0.3","19,200","19,400","19,150","1,987","38,222,200","199,101,811,200","0.01","10,369,886"
,001275,부국증권우,"18,100","50","0.3","18,050","18,150","18,000","507","9,172,150","54,300,000,000","0.00","3,000,000"
,001290,상상인증권,"1,090","10","0.9","1,080","1,100","1,060","107,793","117,133,140","104,758,196,330","0.01","96,108,437"
,001340,백광산업,"3,370","-10","-0.3","3,420","3,450","3,280","3,400,236","11,400,276,225","151,375,031,590","0.01","44,918,407"
,001360,삼성제약,"3,940","20","0.5","3,975","4,050","3,890","2,099,586","8,311,265,440","242,505,869,220","0.02","61,549,713"
,001380,SG충방,"1,630","20","1.2","1,610","1,725","1,575","2,410,951","4,004,518,745","73,291,553,090","0.00","44,964,143"
,001390,KG케미칼,"14,600","250","1.7","14,300","14,750","14,250","231,737","3,369,264,200","189,993,187,200","0.01","13,013,232"
,001420,태원물산,"3,475","25","0.7","3,460","3,530","3,425","6,238","21,650,995","26,410,000,000","0.00","7,600,000"
,001430,세아베스틸,"11,350","850","8.1","10,550","12,150","10,500","933,749","10,643,222,200","407,035,050,650","0.03","35,862,119"
,001440,대한전선,"823","26","3.3","797","834","781","8,384,191","6,779,715,266","704,877,286,407","0.05","856,473,009"
,001450,현대해상,"23,600","200","0.8","23,400","24,200","23,350","323,375","7,725,854,050","2,109,840,000,000","0.14","89,400,000"
,001460,BYC,"207,000","0","0.0","206,000","208,000","205,000","497","102,369,500","129,295,305,000","0.01","624,615"
,001465,BYC우,"119,000","1,500","1.3","116,000","119,500","116,000","126","14,811,500","25,630,815,000","0.00","215,385"
,001470,삼부토건,"744","3","0.4","743","761","734","1,135,371","847,514,720","102,334,497,792","0.01","137,546,368"
,001500,현대차증권,"9,300","90","1.0","9,260","9,430","9,220","134,632","1,257,558,370","272,835,132,300","0.02","29,337,111"
,001510,SK증권,"878","1","0.1","901","915","875","36,380,160","32,618,753,942","414,934,170,138","0.03","472,590,171"
,001515,SK증권우,"7,430","420","6.0","7,700","8,260","7,300","3,941,352","30,460,760,890","29,069,979,020","0.00","3,912,514"
,001520,동양,"1,190","15","1.3","1,175","1,235","1,170","1,603,703","1,916,404,770","284,034,034,970","0.02","238,684,063"
,001525,동양우,"6,250","180","3.0","6,040","6,250","6,040","8,963","55,047,820","3,860,818,750","0.00","617,731"
,001527,동양2우B,"11,750","0","0.0","11,750","11,750","11,400","1,591","18,389,950","3,625,685,750","0.00","308,569"
,001529,동양3우B,"26,700","100","0.4","27,100","27,100","26,550","644","17,241,800","2,395,577,400","0.00","89,722"
,001530,DI동일,"72,900","1,900","2.7","71,000","73,500","70,400","23,850","1,728,847,700","179,742,896,100","0.01","2,465,609"
,001550,조비,"22,050","-100","-0.4","22,050","22,300","21,750","151,582","3,323,424,600","114,488,869,950","0.01","5,192,239"
,001560,제일연마,"6,470","100","1.6","6,380","6,470","6,320","16,909","107,913,740","64,700,000,000","0.00","10,000,000"
,001570,금양,"4,305","80","1.9","4,200","4,330","4,155","282,131","1,199,294,340","189,627,221,175","0.01","44,048,135"
,001620,케이비아이동국실업,"561","1","0.2","560","567","552","25,835","14,447,474","37,049,602,392","0.00","66,042,072"
,001630,종근당홀딩스,"118,500","-3,000","-2.5","121,500","121,500","118,000","22,091","2,634,102,000","593,668,528,500","0.04","5,009,861"
,001680,대상,"26,500","650","2.5","25,800","26,600","25,750","323,362","8,459,056,400","918,172,662,500","0.06","34,648,025"
,001685,대상우,"13,900","50","0.4","14,050","14,050","13,500","16,591","227,942,800","19,046,099,700","0.00","1,370,223"
,001720,신영증권,"45,050","250","0.6","44,800","45,400","44,550","6,398","287,683,250","422,849,976,850","0.03","9,386,237"
,001725,신영증권우,"43,850","-100","-0.2","44,000","44,150","43,500","576","25,308,100","309,307,507,550","0.02","7,053,763"
,001740,SK네트웍스,"5,190","60","1.2","5,240","5,430","5,190","1,920,838","10,169,466,120","1,288,093,887,930","0.09","248,187,647"
,001745,SK네트웍스우,"221,500","51,000","29.9","220,000","221,500","196,500","100,585","21,190,532,500","25,173,032,000","0.00","113,648"
,001750,한양증권,"8,200","-60","-0.7","8,250","8,430","8,200","65,233","543,103,870","104,373,978,800","0.01","12,728,534"
,001755,한양증권우,"14,600","-950","-6.1","15,900","15,900","14,600","47,062","723,907,350","7,665,000,000","0.00","525,000"
