﻿일,유종,Dubai,Brent,WTI,Oman
02월 14일,,55.23,57.32,52.05,55.73
02월 17일,,55.98,57.67,-,56.47
02월 18일,,55.11,57.75,52.05,55.56
02월 19일,,56.39,59.12,53.29,56.87
02월 20일,,56.92,59.31,53.78,57.52
02월 21일,,56.41,58.50,53.38,57.30
02월 24일,,54.64,56.30,51.43,55.16
02월 25일,,54.48,54.95,49.90,55.07
02월 26일,,52.28,53.43,48.73,52.52
02월 27일,,50.62,52.18,47.09,50.99
02월 28일,,49.05,50.52,44.76,49.25
03월 02일,,50.58,51.90,46.75,50.87
03월 03일,,51.72,51.86,47.18,51.91
03월 04일,,50.81,51.13,46.78,51.11
03월 05일,,50.78,49.99,45.90,50.93
03월 06일,,48.58,45.27,41.28,48.87
03월 09일,,32.87,34.36,31.13,33.16
03월 10일,,34.18,37.22,34.36,34.22
03월 11일,,34.58,35.79,32.98,34.78
03월 12일,,32.69,33.22,31.50,32.96
03월 13일,,33.93,33.85,31.73,34.06
03월 16일,,31.49,30.05,28.70,31.48
03월 17일,,30.83,28.73,26.95,30.97
03월 18일,,28.26,24.88,20.37,28.71
03월 19일,,25.82,28.47,25.22,27.76
03월 20일,,28.67,26.98,22.43,29.41
03월 23일,,24.60,27.03,23.36,25.34
03월 24일,,26.64,27.15,24.01,27.02
03월 25일,,27.05,27.39,24.49,27.32
03월 26일,,25.74,26.34,22.60,25.74
03월 27일,,25.04,24.93,21.51,25.08
03월 30일,,23.24,22.76,20.09,23.25
03월 31일,,23.43,22.74,20.48,23.43
04월 01일,,21.23,24.74,20.31,21.41
04월 02일,,21.55,29.94,25.32,21.57
04월 03일,,24.51,34.11,28.34,24.53
04월 06일,,24.87,33.05,26.08,24.86
04월 07일,,24.88,31.87,23.63,24.88
04월 08일,,23.52,32.84,25.09,23.55
04월 09일,,23.32,31.48,22.76,23.32
04월 13일,,22.31,31.74,22.41,22.30
04월 14일,,21.66,29.60,20.11,21.67
04월 15일,,19.68,27.69,19.87,19.82
04월 16일,,19.72,27.82,19.87,19.83
04월 17일,,20.61,28.08,18.27,20.81
04월 20일,,20.78,25.57,-37.63,20.88
04월 21일,,17.37,19.33,10.01,17.36
04월 22일,,13.52,20.37,13.78,13.52
04월 23일,,18.13,21.33,16.50,18.14
04월 24일,,18.17,21.44,16.94,18.18
04월 27일,,17.97,19.99,12.78,17.96
04월 28일,,16.63,20.46,12.34,16.76
04월 29일,,17.12,22.54,15.06,17.58
04월 30일,,20.73,25.27,18.84,21.28
05월 01일,,-,26.44,19.78,-
05월 04일,,24.33,27.20,20.39,25.12
05월 05일,,26.00,30.97,24.56,26.25
05월 06일,,26.88,29.72,23.99,27.44
05월 07일,,-,29.46,23.55,-
05월 08일,,25.92,30.97,24.74,26.31
05월 11일,,26.72,29.63,24.14,27.07
05월 12일,,26.93,29.98,25.78,27.30
05월 13일,,26.84,29.19,25.29,27.39
05월 14일,,29.83,31.13,27.56,30.22
05월 15일,,31.94,32.50,29.43,32.44
05월 18일,,32.90,34.81,31.82,33.44
05월 19일,,33.18,34.65,32.50,33.24
05월 20일,,32.95,35.75,33.49,33.02
05월 21일,,34.10,36.06,33.92,34.08
05월 22일,,32.62,35.13,33.25,32.60
05월 25일,,-,35.53,-,-
05월 26일,,34.81,36.17,34.35,34.81
05월 27일,,34.48,34.74,32.81,34.48
05월 28일,,33.17,35.29,33.71,33.18
05월 29일,,34.86,35.33,35.49,35.17
06월 01일,,37.97,38.32,35.44,38.47
06월 02일,,38.93,39.57,36.81,39.08
06월 03일,,39.87,39.79,37.29,39.95
06월 04일,,38.82,39.99,37.41,38.92
06월 05일,,40.63,42.30,39.55,40.68
06월 08일,,42.94,40.80,38.19,43.04
06월 09일,,40.85,41.18,38.94,40.88
06월 10일,,40.91,41.73,39.60,40.90
06월 11일,,40.60,38.55,36.34,40.61
06월 12일,,38.42,38.73,36.26,38.45
06월 15일,,38.35,39.72,37.12,38.35
06월 16일,,40.29,40.96,38.38,40.27
06월 17일,,41.46,40.71,37.96,41.50
06월 18일,,41.09,41.51,38.84,41.14
06월 19일,,42.95,42.19,39.75,42.96
06월 22일,,42.32,43.08,40.46,42.32
06월 23일,,43.39,42.63,40.37,43.38
06월 24일,,42.49,40.31,38.01,42.49
06월 25일,,40.58,41.05,38.72,40.58
06월 26일,,42.02,41.02,38.49,42.02
06월 29일,,40.63,41.71,39.70,40.64
06월 30일,,42.07,41.15,39.27,42.12
07월 01일,,42.70,42.03,39.82,42.73
07월 02일,,42.85,43.14,40.65,42.84
07월 03일,,42.68,42.80,-,42.82
07월 06일,,43.66,43.10,40.63,43.72
07월 07일,,42.90,43.08,40.62,43.08
07월 08일,,43.34,43.29,40.90,43.55
07월 09일,,43.63,42.35,39.62,43.73
07월 10일,,-,43.24,40.55,-
07월 13일,,43.38,42.72,40.10,43.45
07월 14일,,42.78,42.90,40.29,42.91
07월 15일,,44.18,43.79,41.20,44.17
07월 16일,,43.37,43.37,40.75,43.63
07월 17일,,42.86,43.14,40.59,43.16
07월 20일,,42.72,43.28,40.81,42.87
07월 21일,,43.87,44.32,41.96,44.02
07월 22일,,44.12,44.29,41.90,44.31
전일비,,0.25,-0.03,-0.06,0.29
전주비,,-0.06,0.50,0.70,0.14
전월동일비,,1.80,1.21,1.44,1.99
전년동일비,,-18.62,-18.97,-14.32,-19.37
평균,,35.43,37.05,32.28,35.64
