Date,Exchange
2020-02-14,1181.5
2020-02-17,1183.5
2020-02-18,1182.2
2020-02-19,1188.1
2020-02-20,1190.8
2020-02-21,1197.0
2020-02-24,1205.6
2020-02-25,1217.7
2020-02-26,1212.7
2020-02-27,1216.8
2020-02-28,1215.9
2020-03-02,1215.3
2020-03-03,1200.3
2020-03-04,1191.4
2020-03-05,1186.4
2020-03-06,1185.0
2020-03-09,1191.4
2020-03-10,1201.4
2020-03-11,1196.7
2020-03-12,1192.8
2020-03-13,1202.0
2020-03-16,1222.2
2020-03-17,1219.6
2020-03-18,1241.2
2020-03-19,1237.8
2020-03-20,1280.1
2020-03-23,1254.1
2020-03-24,1274.6
2020-03-25,1256.0
2020-03-26,1230.7
2020-03-27,1227.9
2020-03-30,1212.4
2020-03-31,1222.6
2020-04-01,1220.0
2020-04-02,1222.2
2020-04-03,1237.6
2020-04-06,1229.8
2020-04-07,1233.4
2020-04-08,1222.4
2020-04-09,1219.7
2020-04-10,1216.4
2020-04-13,1212.3
2020-04-14,1218.7
2020-04-16,1216.7
2020-04-17,1227.5
2020-04-20,1219.3
2020-04-21,1218.7
2020-04-22,1231.3
2020-04-23,1235.2
2020-04-24,1232.0
2020-04-27,1235.8
2020-04-28,1230.3
2020-04-29,1225.2
2020-05-04,1218.5
2020-05-06,1227.8
2020-05-07,1223.3
2020-05-08,1226.5
2020-05-11,1217.7
2020-05-12,1217.8
2020-05-13,1226.7
2020-05-14,1226.3
2020-05-15,1227.9
2020-05-18,1229.3
2020-05-19,1231.6
2020-05-20,1224.5
2020-05-21,1227.8
2020-05-22,1230.7
2020-05-25,1236.2
2020-05-26,1242.0
2020-05-27,1237.1
2020-05-28,1233.7
2020-05-29,1239.4
2020-06-01,1237.6
2020-06-02,1227.8
2020-06-03,1224.1
2020-06-04,1216.9
2020-06-05,1217.4
2020-06-08,1213.1
2020-06-09,1204.2
2020-06-10,1197.7
2020-06-11,1194.4
2020-06-12,1192.8
2020-06-15,1206.6
2020-06-16,1210.8
2020-06-17,1206.6
2020-06-18,1214.5
2020-06-19,1213.0
2020-06-22,1212.0
2020-06-23,1213.2
2020-06-24,1210.1
2020-06-25,1202.9
2020-06-26,1205.2
2020-06-29,1198.6
2020-06-30,1200.7
2020-07-01,1198.5
2020-07-02,1201.6
2020-07-03,1201.0
2020-07-06,1200.4
2020-07-07,1196.8
2020-07-08,1192.9
2020-07-09,1195.8
2020-07-10,1194.5
2020-07-13,1202.4
2020-07-14,1200.3
2020-07-15,1206.4
2020-07-16,1200.7
2020-07-17,1204.1
2020-07-20,1205.7
2020-07-21,1203.7
2020-07-22,1198.1
