Date,Dubai,Brent,WTI,Oman
2020-02-14,55.23,57.32,52.05,55.73
2020-02-17,55.98,57.67,-,56.47
2020-02-18,55.11,57.75,52.05,55.56
2020-02-19,56.39,59.12,53.29,56.87
2020-02-20,56.92,59.31,53.78,57.52
2020-02-21,56.41,58.5,53.38,57.30
2020-02-24,54.64,56.3,51.43,55.16
2020-02-25,54.48,54.95,49.90,55.07
2020-02-26,52.28,53.43,48.73,52.52
2020-02-27,50.62,52.18,47.09,50.99
2020-02-28,49.05,50.52,44.76,49.25
2020-03-02,50.58,51.9,46.75,50.87
2020-03-03,51.72,51.86,47.18,51.91
2020-03-04,50.81,51.13,46.78,51.11
2020-03-05,50.78,49.99,45.90,50.93
2020-03-06,48.58,45.27,41.28,48.87
2020-03-09,32.87,34.36,31.13,33.16
2020-03-10,34.18,37.22,34.36,34.22
2020-03-11,34.58,35.79,32.98,34.78
2020-03-12,32.69,33.22,31.50,32.96
2020-03-13,33.93,33.85,31.73,34.06
2020-03-16,31.49,30.05,28.70,31.48
2020-03-17,30.83,28.73,26.95,30.97
2020-03-18,28.26,24.88,20.37,28.71
2020-03-19,25.82,28.47,25.22,27.76
2020-03-20,28.67,26.98,22.43,29.41
2020-03-23,24.60,27.03,23.36,25.34
2020-03-24,26.64,27.15,24.01,27.02
2020-03-25,27.05,27.39,24.49,27.32
2020-03-26,25.74,26.34,22.60,25.74
2020-03-27,25.04,24.93,21.51,25.08
2020-03-30,23.24,22.76,20.09,23.25
2020-03-31,23.43,22.74,20.48,23.43
2020-04-01,21.23,24.74,20.31,21.41
2020-04-02,21.55,29.94,25.32,21.57
2020-04-03,24.51,34.11,28.34,24.53
2020-04-06,24.87,33.05,26.08,24.86
2020-04-07,24.88,31.87,23.63,24.88
2020-04-08,23.52,32.84,25.09,23.55
2020-04-09,23.32,31.48,22.76,23.32
2020-04-13,22.31,31.74,22.41,22.30
2020-04-14,21.66,29.6,20.11,21.67
2020-04-15,19.68,27.69,19.87,19.82
2020-04-16,19.72,27.82,19.87,19.83
2020-04-17,20.61,28.08,18.27,20.81
2020-04-20,20.78,25.57,-37.63,20.88
2020-04-21,17.37,19.33,10.01,17.36
2020-04-22,13.52,20.37,13.78,13.52
2020-04-23,18.13,21.33,16.50,18.14
2020-04-24,18.17,21.44,16.94,18.18
2020-04-27,17.97,19.99,12.78,17.96
2020-04-28,16.63,20.46,12.34,16.76
2020-04-29,17.12,22.54,15.06,17.58
2020-04-30,20.73,25.27,18.84,21.28
2020-05-01,-,26.44,19.78,-
2020-05-04,24.33,27.2,20.39,25.12
2020-05-05,26.00,30.97,24.56,26.25
2020-05-06,26.88,29.72,23.99,27.44
2020-05-07,-,29.46,23.55,-
2020-05-08,25.92,30.97,24.74,26.31
2020-05-11,26.72,29.63,24.14,27.07
2020-05-12,26.93,29.98,25.78,27.30
2020-05-13,26.84,29.19,25.29,27.39
2020-05-14,29.83,31.13,27.56,30.22
2020-05-15,31.94,32.5,29.43,32.44
2020-05-18,32.90,34.81,31.82,33.44
2020-05-19,33.18,34.65,32.50,33.24
2020-05-20,32.95,35.75,33.49,33.02
2020-05-21,34.10,36.06,33.92,34.08
2020-05-22,32.62,35.13,33.25,32.60
2020-05-25,-,35.53,-,-
2020-05-26,34.81,36.17,34.35,34.81
2020-05-27,34.48,34.74,32.81,34.48
2020-05-28,33.17,35.29,33.71,33.18
2020-05-29,34.86,35.33,35.49,35.17
2020-06-01,37.97,38.32,35.44,38.47
2020-06-02,38.93,39.57,36.81,39.08
2020-06-03,39.87,39.79,37.29,39.95
2020-06-04,38.82,39.99,37.41,38.92
2020-06-05,40.63,42.3,39.55,40.68
2020-06-08,42.94,40.8,38.19,43.04
2020-06-09,40.85,41.18,38.94,40.88
2020-06-10,40.91,41.73,39.60,40.90
2020-06-11,40.60,38.55,36.34,40.61
2020-06-12,38.42,38.73,36.26,38.45
2020-06-15,38.35,39.72,37.12,38.35
2020-06-16,40.29,40.96,38.38,40.27
2020-06-17,41.46,40.71,37.96,41.50
2020-06-18,41.09,41.51,38.84,41.14
2020-06-19,42.95,42.19,39.75,42.96
2020-06-22,42.32,43.08,40.46,42.32
2020-06-23,43.39,42.63,40.37,43.38
2020-06-24,42.49,40.31,38.01,42.49
2020-06-25,40.58,41.05,38.72,40.58
2020-06-26,42.02,41.02,38.49,42.02
2020-06-29,40.63,41.71,39.70,40.64
2020-06-30,42.07,41.15,39.27,42.12
2020-07-01,42.70,42.03,39.82,42.73
2020-07-02,42.85,43.14,40.65,42.84
2020-07-03,42.68,42.8,-,42.82
2020-07-06,43.66,43.1,40.63,43.72
2020-07-07,42.90,43.08,40.62,43.08
2020-07-08,43.34,43.29,40.90,43.55
2020-07-09,43.63,42.35,39.62,43.73
2020-07-10,-,43.24,40.55,-
2020-07-13,43.38,42.72,40.10,43.45
2020-07-14,42.78,42.9,40.29,42.91
2020-07-15,44.18,43.79,41.20,44.17
2020-07-16,43.37,43.37,40.75,43.63
2020-07-17,42.86,43.14,40.59,43.16
2020-07-20,42.72,43.28,40.81,42.87
2020-07-21,43.87,44.32,41.96,44.02
2020-07-22,44.12,44.29,41.90,44.31
