﻿일,유종,WTI
01월 04일,,36.76
01월 05일,,35.97
01월 06일,,33.97
01월 07일,,33.27
01월 08일,,33.16
01월 11일,,31.41
01월 12일,,30.44
01월 13일,,30.48
01월 14일,,31.20
01월 15일,,29.42
01월 19일,,28.46
01월 20일,,26.55
01월 21일,,29.53
01월 22일,,32.19
01월 25일,,30.34
01월 26일,,31.45
01월 27일,,32.30
01월 28일,,33.22
01월 29일,,33.62
02월 01일,,31.62
02월 02일,,29.88
02월 03일,,32.28
02월 04일,,31.72
02월 05일,,30.89
02월 08일,,29.69
02월 09일,,27.94
02월 10일,,27.45
02월 11일,,26.21
02월 12일,,29.44
02월 16일,,29.04
02월 17일,,30.66
02월 18일,,30.77
02월 19일,,29.64
02월 22일,,31.48
02월 23일,,31.87
02월 24일,,32.15
02월 25일,,33.07
02월 26일,,32.78
02월 29일,,33.75
03월 01일,,34.40
03월 02일,,34.66
03월 03일,,34.57
03월 04일,,35.92
03월 07일,,37.90
03월 08일,,36.50
03월 09일,,38.29
03월 10일,,37.84
03월 11일,,38.50
03월 14일,,37.18
03월 15일,,36.34
03월 16일,,38.46
03월 17일,,40.20
03월 18일,,39.44
03월 21일,,39.91
03월 22일,,41.45
03월 23일,,39.79
03월 24일,,39.46
03월 28일,,39.39
03월 29일,,38.28
03월 30일,,38.32
03월 31일,,38.34
04월 01일,,36.79
04월 04일,,35.70
04월 05일,,35.89
04월 06일,,37.75
04월 07일,,37.26
04월 08일,,39.72
04월 11일,,40.36
04월 12일,,42.17
04월 13일,,41.76
04월 14일,,41.50
04월 15일,,40.36
04월 18일,,39.78
04월 19일,,41.08
04월 20일,,42.63
04월 21일,,43.18
04월 22일,,43.73
04월 25일,,42.64
04월 26일,,44.04
04월 27일,,45.33
04월 28일,,46.03
04월 29일,,45.92
05월 02일,,44.78
05월 03일,,43.65
05월 04일,,43.78
05월 05일,,44.32
05월 06일,,44.66
05월 09일,,43.44
05월 10일,,44.66
05월 11일,,46.23
05월 12일,,46.70
05월 13일,,46.21
05월 16일,,47.72
05월 17일,,48.31
05월 18일,,48.19
05월 19일,,48.16
05월 20일,,47.75
05월 23일,,48.08
05월 24일,,48.62
05월 25일,,49.56
05월 26일,,49.48
05월 27일,,49.33
05월 31일,,49.10
06월 01일,,49.01
06월 02일,,49.17
06월 03일,,48.62
06월 06일,,49.69
06월 07일,,50.36
06월 08일,,51.23
06월 09일,,50.56
06월 10일,,49.07
06월 13일,,48.88
06월 14일,,48.49
06월 15일,,48.01
06월 16일,,46.21
06월 17일,,47.98
06월 20일,,49.37
06월 21일,,48.85
06월 22일,,49.13
06월 23일,,50.11
06월 24일,,47.64
06월 27일,,46.33
06월 28일,,47.85
06월 29일,,49.88
06월 30일,,48.33
07월 01일,,48.99
07월 05일,,46.60
07월 06일,,47.43
07월 07일,,45.14
07월 08일,,45.41
07월 11일,,44.76
07월 12일,,46.80
07월 13일,,44.75
07월 14일,,45.68
07월 15일,,45.95
07월 18일,,45.24
07월 19일,,44.65
07월 20일,,44.94
07월 21일,,44.75
07월 22일,,44.19
07월 25일,,43.13
07월 26일,,42.92
07월 27일,,41.92
07월 28일,,41.14
07월 29일,,41.60
08월 01일,,40.06
08월 02일,,39.51
08월 03일,,40.83
08월 04일,,41.93
08월 05일,,41.80
08월 08일,,43.02
08월 09일,,42.77
08월 10일,,41.71
08월 11일,,43.49
08월 12일,,44.49
08월 15일,,45.74
08월 16일,,46.58
08월 17일,,46.79
08월 18일,,48.22
08월 19일,,48.52
08월 22일,,47.05
08월 23일,,48.10
08월 24일,,46.77
08월 25일,,47.33
08월 26일,,47.64
08월 29일,,46.98
08월 30일,,46.35
08월 31일,,44.70
09월 01일,,43.16
09월 02일,,44.44
09월 06일,,44.83
09월 07일,,45.50
09월 08일,,47.62
09월 09일,,45.88
09월 12일,,46.29
09월 13일,,44.90
09월 14일,,43.58
09월 15일,,43.91
09월 16일,,43.03
09월 19일,,43.30
09월 20일,,43.44
09월 21일,,45.34
09월 22일,,46.32
09월 23일,,44.48
09월 26일,,45.93
09월 27일,,44.67
09월 28일,,47.05
09월 29일,,47.83
09월 30일,,48.24
10월 03일,,48.81
10월 04일,,48.69
10월 05일,,49.83
10월 06일,,50.44
10월 07일,,49.81
10월 10일,,51.35
10월 11일,,50.79
10월 12일,,50.18
10월 13일,,50.44
10월 14일,,50.35
10월 17일,,49.94
10월 18일,,50.29
10월 19일,,51.60
10월 20일,,50.43
10월 21일,,50.85
10월 24일,,50.52
10월 25일,,49.96
10월 26일,,49.18
10월 27일,,49.72
10월 28일,,48.70
10월 31일,,46.86
11월 01일,,46.67
11월 02일,,45.34
11월 03일,,44.66
11월 04일,,44.07
11월 07일,,44.89
11월 08일,,44.98
11월 09일,,45.27
11월 10일,,44.66
11월 11일,,43.41
11월 14일,,43.32
11월 15일,,45.81
11월 16일,,45.57
11월 17일,,45.42
11월 18일,,45.69
11월 21일,,47.49
11월 22일,,48.03
11월 23일,,47.96
11월 25일,,46.06
11월 28일,,47.08
11월 29일,,45.23
11월 30일,,49.44
12월 01일,,51.06
12월 02일,,51.68
12월 05일,,51.79
12월 06일,,50.93
12월 07일,,49.77
12월 08일,,50.84
12월 09일,,51.50
12월 12일,,52.83
12월 13일,,52.98
12월 14일,,51.04
12월 15일,,50.90
12월 16일,,51.90
12월 19일,,52.12
12월 20일,,52.23
12월 21일,,52.49
12월 22일,,52.95
12월 23일,,53.02
12월 27일,,53.90
12월 28일,,54.06
12월 29일,,53.77
12월 30일,,53.72
전일비,,-0.05
전주비,,0.70
전월동일비,,4.28
전년동일비,,17.12
평균,,43.47
